"initial_alias","converted_alias","name","description","namespace"
"TP53","ENSG00000141510","TP53","tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]","DBASS5,ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STK11","ENSG00000118046","STK11","serine/threonine kinase 11 [Source:HGNC Symbol;Acc:HGNC:11389]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RBM10","ENSG00000182872","RBM10","RNA binding motif protein 10 [Source:HGNC Symbol;Acc:HGNC:9896]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NSD1","ENSG00000165671","NSD1","nuclear receptor binding SET domain protein 1 [Source:HGNC Symbol;Acc:HGNC:14234]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP7A","ENSG00000165240","ATP7A","ATPase copper transporting alpha [Source:HGNC Symbol;Acc:HGNC:869]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EPHA3","ENSG00000044524","EPHA3","EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRCA1","ENSG00000012048","BRCA1","BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]","DBASS5,ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARID2","ENSG00000189079","ARID2","AT-rich interaction domain 2 [Source:HGNC Symbol;Acc:HGNC:18037]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHD7","ENSG00000171316","CHD7","chromodomain helicase DNA binding protein 7 [Source:HGNC Symbol;Acc:HGNC:20626]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NEB","ENSG00000183091","NEB","nebulin [Source:HGNC Symbol;Acc:HGNC:7720]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PKP2","ENSG00000057294","PKP2","plakophilin 2 [Source:HGNC Symbol;Acc:HGNC:9024]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSC2","ENSG00000103197","TSC2","TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363]","DBASS5,ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAP3K13","ENSG00000073803","MAP3K13","mitogen-activated protein kinase kinase kinase 13 [Source:HGNC Symbol;Acc:HGNC:6852]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITGA2B","ENSG00000005961","ITGA2B","integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSC1","ENSG00000165699","TSC1","TSC complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:12362]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"EP300","ENSG00000100393","EP300","E1A binding protein p300 [Source:HGNC Symbol;Acc:HGNC:3373]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NF1","ENSG00000196712","NF1","neurofibromin 1 [Source:HGNC Symbol;Acc:HGNC:7765]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NF2","ENSG00000186575","NF2","NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor [Source:HGNC Symbol;Acc:HGNC:7773]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ASPM","ENSG00000066279","ASPM","assembly factor for spindle microtubules [Source:HGNC Symbol;Acc:HGNC:19048]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PTPRT","ENSG00000196090","PTPRT","protein tyrosine phosphatase receptor type T [Source:HGNC Symbol;Acc:HGNC:9682]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CHM","ENSG00000188419","CHM","CHM Rab escort protein [Source:HGNC Symbol;Acc:HGNC:1940]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MSH2","ENSG00000095002","MSH2","mutS homolog 2 [Source:HGNC Symbol;Acc:HGNC:7325]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CTNNB1","ENSG00000168036","CTNNB1","catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
