gene_symbol,ac_total,n_variants,ac_nmd_triggering,n_triggering,ac_nmd_evading,n_evading,ac_synonymous_nmd_triggering,ac_synonymous_nmd_evading,n_synonymous_variants_nmd_triggering,n_synonymous_variants_nmd_evading,log_odds_t1,se_log_or_t1,ci_lower_t1,ci_upper_t1,z_score_t1,p_value_t1,n_rare_t2,n_common_t2,af_split_t2,ac_rare_triggering_t2,ac_rare_evading_t2,ac_common_triggering_t2,ac_common_evading_t2,n_rare_triggering_t2,n_rare_evading_t2,n_common_triggering_t2,n_common_evading_t2,log_odds_t2,se_log_or_t2,ci_lower_t2,ci_upper_t2,z_score_t2,p_value_t2,p_value_combined,p_value_fdr_t1,p_value_fdr_t2,p_value_fdr_combined
TCIRG1,16,11,16.0,11.0,0.0,0.0,172102.0,1712.0,568.0,60.0,-1.1136283769293804,1.4356865300972705,-3.927522269009311,1.7002655151505501,-0.7756765516591773,0.43793998818020463,6,5,6.57108e-06,6,0,10,0,6,0,5,0,0.4795730802618863,2.061330698622676,-3.5605608492653475,4.51970700978912,0.23265217977024438,0.8160315052693503,0.7251007857649905,0.523767423049692,,0.7928360812193005
TCN2,16,13,14.0,11.0,2.0,2.0,141345.0,29161.0,313.0,47.0,0.17950001593462517,0.684840772656586,-1.1627632336168665,1.5217632654861168,0.2621047447836982,0.7932406888198789,7,6,6.57263e-06,7,0,7,2,7,0,4,2,-1.6094379124341003,1.632993161855452,-4.810045696670974,1.5911698718027731,-0.9855754145384249,0.32434150742784107,0.6065620262972857,0.8285706243049149,,0.6973998176751401
TCTN2,29,12,27.0,10.0,2.0,2.0,104788.0,1796.0,338.0,51.0,-1.668208432671621,0.6610066696354845,-2.963757698697936,-0.37265916664530585,-2.5237391834360206,0.011611404092499306,6,6,6.58311e-06,4,2,23,0,4,2,6,0,3.26236093680794,1.6324139835567397,0.0628883211771698,6.46183355243871,1.998488722633848,0.04566370136043956,0.004529252769257238,0.024383948594248542,,0.01134697009561287
TCTN3,20,12,15.0,8.0,5.0,4.0,75528.0,882.0,242.0,78.0,-3.413414626957647,0.49747431628334243,-4.388446370106686,-2.4383828838086083,-6.861489156785927,6.8146377953908095e-12,6,6,6.57186e-06,4,2,11,3,4,2,4,2,0.6017974019717174,0.9974432463431884,-1.3531554374836448,2.5567502414270793,0.6033399937069283,0.5462825323738894,1.0169186519185618e-10,5.3468696548450965e-11,0.7092089016783826,7.408978749692379e-10
TDO2,33,15,25.0,12.0,8.0,3.0,5676.0,425.0,151.0,71.0,-1.49221288792305,0.3992356274828141,-2.2747003391346152,-0.709725436711485,-3.737674659276959,0.00018573006304067023,8,7,6.59613e-06,7,1,18,7,7,1,5,2,-0.7065702008920859,0.9936736825474384,-2.654134831070352,1.24099442928618,-0.7110686468828301,0.477041697733146,0.0009153693404560275,0.0006314822143382787,0.656764383855866,0.002817128056403464
TDRD9,46,19,44.0,17.0,2.0,2.0,520217.0,68619.0,672.0,78.0,0.8535282148403525,0.6499910810943687,-0.42043089437686376,2.1274873240575687,1.3131383486113302,0.18913633375084937,10,9,6.6538e-06,8,2,36,0,8,2,9,0,3.0666840095262753,1.5953195037664092,-0.06008476169019783,6.193452780742748,1.9223008320816637,0.05456791536636742,0.05752383671269441,0.2596987351886662,,0.10066671424721522
TECTA,42,13,42.0,13.0,0.0,0.0,186155.0,430577.0,535.0,739.0,5.281196241437417,1.4225108456810027,2.493126216285037,8.069266266589796,3.7125876807702896,0.0002051509545396167,7,6,6.57341e-06,7,0,35,0,7,0,6,0,1.5546296759391054,2.0399760654031804,-2.443649941574854,5.552909293453064,0.762082311799991,0.4460108790770748,0.0009423700859281683,0.0006909329317985204,0.6316709100804504,0.0028842922917297763
TEKT3,1020,12,1019.0,11.0,1.0,1.0,112957.0,154254.0,138.0,174.0,6.833194675914103,0.8171064039180029,5.231695552697779,8.434693799130427,8.362674240648612,6.131233668186677e-17,6,6,1.31356e-05,6,1,1013,0,5,1,6,0,6.1479750776585735,1.6797319727668512,2.85576090735513,9.440189247962017,3.6600929060912266,0.0002521238174110698,7.206063077896007e-19,6.948731490611568e-16,0.004682770178736543,8.870912133823706e-18
TET2,77,58,0.0,0.0,77.0,58.0,16901.0,133149.0,169.0,847.0,-2.979354935216479,1.418791705116553,-5.760135578809096,-0.19857429162386264,-2.0999241287301764,0.03573551583990947,29,29,6.5716e-06,0,29,0,48,0,29,0,29,-0.4971735345976634,2.0135830903605085,-4.4437238715831215,3.4493768023877944,-0.24690986777637783,0.8049779793471202,0.13084498628094732,0.06347054305894369,,0.19981325383559445
TEX14,23,14,18.0,13.0,5.0,1.0,220740.0,24856.0,667.0,164.0,-0.9708458758487701,0.48571287506512656,-1.922825617803821,-0.018866133893719272,-1.9988061377178745,0.045629333452661056,7,7,6.57886e-06,7,0,11,5,7,0,6,1,-1.970451257971431,1.549873555129787,-5.008147606616868,1.0672450906740054,-1.2713625904833408,0.20359968482494628,0.05275675906328099,0.07665728020047057,,0.09323843062173917
