uORF_length,PTC_AUG_dist,AUG_driven_fitness_enrichment
65,1,0.604191011844324
62,1,0.349090732330103
62,5,0.40721360829757
62,20,0.65834255086715
62,10,0.464416286577285
60,1,0.2451441401622
60,20,0.690100032499624
60,10,0.524919151118361
60,5,0.160253796113963
59,1,0.766624018145466
59,5,0.487855146084867
59,20,0.749518386435373
59,10,0.601652526125287
58,1,0.397635568064902
58,5,0.671387275847229
58,20,0.982472393957053
58,10,1.01695793208031
57,1,-0.0477924482801818
57,5,0.159004422473271
57,10,0.702874506741969
57,20,1.18658048871374
56,1,0.235343025757218
56,5,0.48460431712013
56,20,0.69675784158552
56,10,0.575343719163349
55,5,0.32447354940944
55,20,0.644090406076511
55,10,0.352067050785921
55,1,0.174733150358692
54,5,-0.0326111701911894
54,10,-0.0814978953366259
54,20,0.607788942700555
54,1,-0.0111926945022529
53,1,0.513460062921055
53,5,0.42602754175327
53,10,0.223456951796213
53,20,0.705145374921667
53,30,0.83486258561523
52,5,0.799456005006366
52,10,-0.0290021706739678
52,30,0.573363728225246
52,20,1.14314847601067
52,1,0.0105894118202894
51,1,-0.480776434968798
51,10,0.398958653257503
51,30,0.496003704151026
51,20,0.661948599246308
51,5,0.458913494786836
50,1,0.236001470547068
50,10,0.298335929111362
50,30,0.805432303559531
50,20,0.250670028686793
50,5,0.476806344582115
49,5,0.838495744190391
49,10,0.331731911629184
49,30,0.650596142564952
49,20,0.316548013969018
49,1,0.408219025539939
48,1,-0.0854847288793465
48,10,0.146806336630958
48,30,0.571172937779941
48,20,0.437652085979543
48,5,0.245652634297649
45,1,0.604336117803233
45,30,0.908760122950298
45,20,-0.0882296426560384
45,10,0.600098832684563
45,5,0.581720284290211
42,1,-0.163834523504335
42,5,0.116810874173731
42,10,0.131009837934589
42,20,-0.280728680744523
42,40,0.674876771884735
42,30,0.79433852442036
41,5,0.610364385800348
41,10,0.562005310214116
41,20,0.697567261505228
41,40,0.530038004136897
41,30,0.797666527541414
41,1,0.304803250412971
40,1,0.5072841343347
40,20,0.565234729495189
40,40,0.95374365544706
40,30,0.922452945441363
40,10,0.50996601717364
