gene_symbol,n_ptc_triggering,n_ptc_evading,n_syn_triggering,n_syn_evading,n_variants,log_odds,se_log_or,ci_lower,ci_upper,z_score,p_value,p_value_fdr
CBFB,3.0,2.0,5,9,5.0,0.883015942989283,0.9863040228181189,-1.0501044195412017,2.816136305519768,0.8952776451892431,0.3706386872999399,0.5727181155992969
CBLB,12.0,3.0,106,18,15.0,-0.47740857725231334,0.655101527345069,-1.76138397706583,0.8065668225612033,-0.7287550972245598,0.46615148310085197,0.6293045021861502
CDC73,20.0,0.0,37,7,20.0,2.1041341542702074,1.4861966517943976,-0.8087577571908273,5.017026065731242,1.4157844802904966,0.15683861486379272,0.34334940010722187
CDH1,49.0,39.0,89,14,88.0,-1.5944179781867125,0.354481561575696,-2.289189072058594,-0.8996468843148309,-4.497886917162659,6.8632183191195924e-06,8.817877896984338e-05
CDH10,36.0,21.0,159,105,57.0,0.11592635614605062,0.2994280441829395,-0.4709418264137788,0.70279453870588,0.3871593138925354,0.698638268693518,0.8074766681255613
CDK12,25.0,31.0,49,142,56.0,0.8460602364668538,0.3133389252585942,0.23192722800552135,1.4601932449281863,2.7001440557332996,0.006930945799093977,0.04158567479456386
CDKN2A,168.0,33.0,51,23,201.0,0.8308089244418184,0.31265976969713255,0.21800703642085084,1.443610812462786,2.6572300147428844,0.007878566811355766,0.045424746923037496
CHD2,36.0,6.0,147,17,42.0,-0.4061172111635517,0.4951423353743171,-1.376578355718266,0.5643439333911626,-0.8202029641770294,0.41210041246041074,0.596073810880237
CIC,29.0,28.0,152,363,57.0,0.9031008769972768,0.2798114241217387,0.3546805632558069,1.4515211907387466,3.227533971609254,0.0012486221373801682,0.009194399375253966
CNOT3,9.0,1.0,133,12,10.0,-0.5225461430337184,0.9270493305458579,-2.339529442795568,1.294437156728131,-0.5636659515476236,0.5729814935558284,0.7068986129408115
CNTNAP2,43.0,5.0,443,67,48.0,0.185442641985063,0.47103746540154917,-0.7377738255710051,1.1086591095411311,0.3936897924392854,0.6938100784805307,0.8074766681255613
CREBBP,90.0,26.0,152,246,116.0,1.7084025151489823,0.2437206289884712,1.2307188600421302,2.1860861702558347,7.009675472443473,2.3887153679431337e-12,1.2899062986892923e-10
CSMD3,320.0,10.0,914,31,330.0,0.05011709719791413,0.3622122934157955,-0.6598059526546997,0.7600401470505279,0.1383638769553938,0.8899528443885192,0.9361841609801306
CTCF,43.0,34.0,48,41,77.0,0.07593124335053947,0.31094847682003984,-0.5335165722643265,0.6853790589654054,0.24419236307912312,0.8070818414485781,0.8822376955131999
CTNND1,39.0,14.0,67,36,53.0,0.3873366851905091,0.36945100896650596,-0.3367739864358271,1.1114473568168455,1.0484114964905256,0.29444905903267793,0.49176028415766826
