gene,n_ptc_trig,n_ptc_evad,n_syn_trig,n_syn_evad,log_or,se,ci_lower,ci_upper,z,p_value,category,use_ai_filter
PBRM1,221,52,100,26,0.10659642538065829,0.26692393962826183,-0.41656488290227867,0.6297577336635952,0.39935131157254916,0.6896343638943196,Tumor Suppressors,False
ACVR2A,26,9,40,13,-0.07275935428242832,0.491695473896299,-1.0364647744805287,0.8909460659156719,-0.1479764572691056,0.8823613480520126,Tumor Suppressors,False
CDKN1A,0,27,0,25,-0.07550755250814517,2.018806410391582,-4.032295408634234,3.881280303617944,-0.037402076850696735,0.9701644167435732,Tumor Suppressors,False
RBM10,96,5,123,16,0.8519141409450179,0.5107681496693617,-0.14917303685709493,1.8530013187471308,1.6679077219213692,0.09533404654212121,Tumor Suppressors,False
B2M,30,28,0,12,3.2866984212069617,1.4655628968229741,0.41424792635574104,6.159148916058182,2.2426184698942766,0.024921428169875866,Tumor Suppressors,False
TET2,12,76,43,167,-0.463339683353752,0.3493287140011459,-1.148011381561691,0.22133201485418696,-1.3263715943838275,0.18471664290406264,Tumor Suppressors,False
BRCA2,43,86,72,191,0.2839177709168764,0.23143948442714632,-0.1696952831608491,0.737530824994602,1.2267473357868177,0.21991757036698556,Tumor Suppressors,False
CSF3R,16,0,87,38,2.67552700939665,1.4484504333972419,-0.16338367345337668,5.514437692246677,1.8471650445927814,0.06472322381702059,Oncogenes,False
MACC1,0,35,1,130,0.20322824161326825,1.6439277709194573,-3.0188109825740805,3.425267465800617,0.12362358323054647,0.9016133190020783,Oncogenes,False
FGFR2,12,5,86,10,-1.2877886047045257,0.6071383455999922,-2.4777578957137427,-0.0978193136953085,-2.1210793454857386,0.0339151257797816,Oncogenes,False
SPOP,12,2,25,6,0.24256163717131127,0.8204034617922231,-1.3653996007334284,1.850522875076051,0.29566140133224217,0.7674886772095131,Oncogenes,False
TNC,35,16,252,152,0.261925662906887,0.315107676484328,-0.35567403425449484,0.8795253600682689,0.8312259029332596,0.4058460243410382,Oncogenes,False
PIK3CB,25,4,86,14,-0.051394709123198545,0.5847769826008287,-1.1975365340088286,1.0947471157624316,-0.08788770873747061,0.9299659258061866,Oncogenes,False
MB21D2,0,19,0,89,1.5238241597111084,2.0155533323729227,-2.426587780659509,5.4742361000817255,0.7560326661845764,0.4496296106116139,Oncogenes,False
EGFR,32,2,237,36,0.6920939945752866,0.6799831007892717,-0.6406483930675555,2.024836382218129,1.0178105805452482,0.30876798283603735,Oncogenes,False
BRAF,28,2,65,11,0.6939102481284479,0.7330152908431686,-0.7427733220413154,2.130593818298211,0.9466518049442881,0.34381623655610594,Oncogenes,False
NFE2L2,4,10,9,27,0.21559634567882682,0.6775596739171323,-1.1123962125754556,1.5435889039331092,0.31819536194120507,0.7503367507190563,Oncogenes,False
SALL4,3,19,19,215,0.6848949468997683,0.6268323216842656,-0.5436738279470179,1.9134637217465544,1.0926286396009246,0.2745568828824456,Oncogenes,False
ERBB3,15,2,117,21,0.12616389360044944,0.7207901187149469,-1.2865587794931965,1.5388865666940954,0.1750355482472199,0.8610517012801341,Oncogenes,False
PIK3CA,16,5,95,12,-0.9347853145103193,0.5769709235418403,-2.0656275447791392,0.19605691575850082,-1.6201601785614614,0.10519787307134972,Oncogenes,False
IL7R,15,9,80,68,0.3281247861623676,0.4436216713838803,-0.5413577125115009,1.197607284836236,0.7396500381480023,0.4595123711751026,Oncogenes,False
MED12,47,2,266,8,-0.500869100943188,0.7365134320691216,-1.944408901928654,0.9426707000422778,-0.6800542653187914,0.4964701015109718,Oncogenes,False
ARAF,13,1,81,10,0.14799681425288003,0.9210042207444777,-1.657138288015674,1.953131916521434,0.1606907014315845,0.8723370134412504,Oncogenes,False
CTNNB1,15,6,62,18,-0.3483579776344671,0.5370440735474752,-1.4009450198981983,0.7042290646292643,-0.6486580800219405,0.516559405619893,Oncogenes,False
SF3B1,15,4,103,14,-0.7286603361299683,0.6044548818933071,-1.913370134920262,0.45604946266032564,-1.2054834164753836,0.2280167362040494,Oncogenes,False
JAK3,10,2,158,21,-0.5626171328943955,0.740309983324591,-2.013598037606042,0.8883637718172507,-0.7599750720202222,0.4472694855869206,Oncogenes,False
KDR,52,3,209,24,0.5619995792906989,0.5919049763114468,-0.5981128565497706,1.7221120151311684,0.9494760168986781,0.34237856418674706,Oncogenes,False
ZEB1,14,25,25,117,0.9632300786819815,0.3948512733780547,0.18933580361121527,1.7371243537527477,2.4394756801498936,0.01470859267233037,Oncogenes,False
EZH2,14,3,56,15,0.12798506670396642,0.6609803681140393,-1.1675126492875778,1.4234827826955105,0.19362914978722195,0.8464662719008298,Oncogenes,False
DDR2,21,3,117,19,0.019266098623736676,0.626113889960274,-1.2078945759186748,1.2464267731661482,0.030770917132918234,0.9754522341983303,Oncogenes,False
MAPK1,4,7,34,15,-1.310944923878104,0.6701172970713339,-2.6243506915552466,0.00246084379903877,-1.9562917262506565,0.05043079829192854,Oncogenes,False
NUP160,24,1,81,4,-0.10331761402802601,0.9705540448989989,-2.0055685870797344,1.7989333590236822,-0.10645220075176526,0.9152235781135606,Essential Genes,False
SF3B3,12,2,105,16,-0.24591265957548591,0.7416769738854259,-1.6995728165535748,1.207747497402603,-0.33156302303308993,0.7402192448125965,Essential Genes,False
